Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1902,8.458135845859787e-08,4.233678563095275e-07,8.303920647852353e-08,0.13073923936797352,0.03428553806011515,9.95123293840938,8.09484448998483,0.1291719879017019,0.054580193020485314,0.18375218056694798
1903,8.211815994089249e-08,4.045507639264247e-07,7.921031698231114e-08,0.13233333126823338,0.034767711517338824,9.031306815956645,7.713464918735345,0.12899081522288017,0.05546902527550937,0.18445984050935124
1904,8.559663083650256e-08,4.1578073071690765e-07,8.296896377625791e-08,0.1335351364850524,0.03518236744656127,8.80543609530556,7.292718558743811,0.13504920405463758,0.05550446781604363,0.19055367164761242
1905,9.355447391988446e-08,4.460763987205806e-07,8.841937501283975e-08,0.13744254519549196,0.03603380965215749,9.491773822793286,7.634491848052806,0.13710781562227708,0.05631668020470725,0.19342449595497277
1906,8.813872282953338e-08,4.3555125981214437e-07,8.795880355027559e-08,0.13157343867265855,0.03516162041855699,9.911857197675419,8.422119740810968,0.13000096107556505,0.0540515092876473,0.18405246995805766
1907,8.773886492839974e-08,4.399113458416607e-07,8.758923575826135e-08,0.1312515680789985,0.03382353123393292,9.975395932073083,8.437494644144362,0.1323789384756446,0.05416033853085319,0.18653927673304774
1908,8.779237510629609e-08,4.387074446869527e-07,8.93428853839599e-08,0.13385350931483384,0.03592459129310084,9.868588105518432,8.218477298323508,0.1320493677077712,0.055502858327191935,0.1875522260702918
1909,8.912156184114388e-08,4.4678479658666033e-07,9.153847133900192e-08,0.13278209804917399,0.03534463261115312,10.059090897892728,8.459792356093402,0.13343704057191572,0.05433100302889773,0.18776804329724064
1910,9.265555896313994e-08,4.4841195772596233e-07,9.620543061499962e-08,0.13682559374844525,0.03783297745488323,9.784976752261292,7.944904602047786,0.1352346032913051,0.056126607138389954,0.19136121085193566
1911,9.052875546808113e-08,4.38600152580384e-07,9.039416661273572e-08,0.13493910281846924,0.03631022857231915,9.548405133734454,7.9585595665081,0.13247451861933068,0.05577722713079297,0.18825174542670228
1912,9.021689975337308e-08,4.3269569026412026e-07,8.789085745784345e-08,0.13256771333605685,0.03518247099363391,9.250898621394965,7.61431302851814,0.13413537403799597,0.05434492849675638,0.1884803023847189
1913,8.919029147244324e-08,4.3286684259722617e-07,9.095533000333689e-08,0.13670885704856783,0.03775989790148908,8.943918998161095,7.578003136389519,0.13612497341738025,0.05540610240623973,0.1915310756706443
1914,9.05219940314215e-08,4.3510123697575327e-07,9.120209548632487e-08,0.1353406159649707,0.03652392386542046,9.354250556929456,7.773719988756977,0.13627253703585332,0.05572617302784546,0.19199871011690706
1915,8.683901821083729e-08,4.313351081902888e-07,8.775514019768244e-08,0.13304795775384853,0.03539393937053952,9.58069858392173,7.9264498798721545,0.13225514030860128,0.055089310804255893,0.1873444508051236
1916,9.37574324342557e-08,4.667497222718369e-07,9.40064473549921e-08,0.13394459218698793,0.03524372547735648,10.430604078997694,8.420170734783968,0.13451922774960853,0.05477453277102637,0.18929376024940248
1917,8.915535269845576e-08,4.328386893535068e-07,8.859128160569272e-08,0.13227234307924723,0.03511694583681096,9.76047603463262,8.078235640639393,0.13116465434374502,0.054152922853613165,0.18531757713661165
1918,8.739371192222911e-08,4.4016409803466777e-07,8.779207323093366e-08,0.13223917768878715,0.03548512058019187,10.402910450801718,8.547558664129225,0.1283391759344234,0.05411292801140714,0.18245210396700373
1919,8.727383047753944e-08,4.3275568150166164e-07,8.516122562570678e-08,0.12949642243319345,0.03378891758590636,10.460265722360866,8.70134249505739,0.12726107101339237,0.054065540503121574,0.18132661168229305
1920,8.446158089178182e-08,4.355833251761399e-07,8.660631490307473e-08,0.12849576635417084,0.033407261473797065,10.555789998545144,8.847312465203805,0.1266928392158577,0.05285475566654208,0.17954759487874947
1921,8.77918233197881e-08,4.3867277334971205e-07,8.953441898048067e-08,0.1339866073303649,0.0362050201253206,10.11847559619729,8.508738635505754,0.12958454147014856,0.05449763821686513,0.18408217930906354
1922,8.610707821361776e-08,4.413152561779517e-07,8.901108846906488e-08,0.13135470535203123,0.034916989306232236,10.392084368477827,8.44856921590508,0.12918641506993214,0.05397346078539816,0.18315987608550702
1923,8.445133050534616e-08,4.0825313849361376e-07,8.329419310891772e-08,0.129873776702624,0.03497970267846192,9.570919974086125,7.91540128316941,0.12456956317445206,0.05376894912252134,0.17833851202993464
1924,8.687480532119151e-08,4.362353202729896e-07,8.75322687612143e-08,0.13232582946614618,0.03509725497124466,10.131965472390785,8.406514624188654,0.13191828616625575,0.054990563218486145,0.18690884970669772
1925,8.675976981237939e-08,4.262131719387165e-07,8.151744774449113e-08,0.13020227112697966,0.03340390009931145,9.968424977573578,8.208217224019064,0.12854313074288862,0.05440448411476934,0.18294761488955538
1926,8.689619780597046e-08,4.1088003289763225e-07,7.9356860519599e-08,0.13361034235323468,0.03473666842936527,8.770894122371226,7.516290747031842,0.12938064873045668,0.05540864725160775,0.1847892961296794
1927,8.577290165967942e-08,4.2748927303298503e-07,8.191132035350238e-08,0.1310115591386662,0.0336454438301107,9.933795747856154,8.156235690715414,0.12955713369066146,0.05478366069868457,0.18434079467788803
1928,8.9634021776094e-08,4.4022823894073706e-07,8.733327098776114e-08,0.13621564549259177,0.03607235477687283,9.908606277043985,8.062991909100488,0.13323026576809013,0.05614396659811685,0.18937423224680625
1929,8.72858028052135e-08,4.358224764184933e-07,8.608818407583424e-08,0.13077302337871985,0.03456464156207638,10.653323512886772,8.677919725476416,0.12580357539379794,0.05461294717279073,0.18041652254804874
1930,8.92027538422011e-08,4.2936968919041414e-07,8.635611980157759e-08,0.13616277008992203,0.03678232804259246,9.445017224469005,7.6535143635704195,0.13237261252344487,0.056322002308266,0.18869461437527238
1931,8.597597157493432e-08,4.303134088307024e-07,8.695836443536152e-08,0.13217063995375986,0.03514381776119726,9.825548962069812,8.213662279696479,0.13094815610940638,0.054020825301112387,0.18496898120071223
1932,8.557439819398574e-08,4.081363452809765e-07,7.936027397129231e-08,0.1324609828283657,0.03479850974435795,9.207961356948635,7.420856724246096,0.12881193977377361,0.05504030478511135,0.18385224454362117
1933,8.759400955187885e-08,4.367917758096116e-07,8.686244692122848e-08,0.13256656528026736,0.03499332706398363,10.348405373681627,8.72053725983313,0.1294912675486211,0.05491145884957446,0.18440272620315148
1934,8.48527652884314e-08,4.2094153117917405e-07,8.161419248682924e-08,0.12884639964942493,0.03361428883520246,10.037184711684143,8.449140933338242,0.12575300409528445,0.05302025026975205,0.1787732542685845
1935,8.404666480355256e-08,4.2941927829477415e-07,8.367415155119084e-08,0.12897718388250615,0.033431323429202575,10.485080787409117,8.746763018810718,0.1271737302402578,0.05356512358585852,0.1807388542884767
1936,8.899989819046116e-08,4.333551768517606e-07,8.722515935417814e-08,0.13280119455305156,0.0348511028476501,9.937337698757663,8.434279830509977,0.13146196776758298,0.05484415249537238,0.18630612029269866
1937,9.016984320670245e-08,4.313043157749442e-07,8.4647835164096e-08,0.13272212416872567,0.03436248932716322,9.624273554445542,8.258773695456588,0.13052324911601268,0.05611904521784002,0.18664229425019285
1938,8.534307892420038e-08,4.3275190179209944e-07,8.436837295349201e-08,0.13061953846269683,0.034109838675264945,10.143061889765889,8.472191543289403,0.12766574984719914,0.053958030280183554,0.1816237795687391
1939,8.484800624730736e-08,4.055297936652846e-07,8.03986555258408e-08,0.13033501614269272,0.034692912261992406,9.134640768446154,7.608099771179521,0.1286461782109953,0.054979284054082846,0.18362546218688233
1940,9.035801750215016e-08,4.1460975057022975e-07,8.466640167321576e-08,0.13673867397216205,0.037356474062835106,8.757560907711714,6.965436003736333,0.12931673616339204,0.057444043610645645,0.18676077999797028
1941,9.58874761068615e-08,4.614464270751529e-07,9.802781535736086e-08,0.13604195686748985,0.03764077718749942,10.180122527719586,8.289714281619489,0.1361688082877611,0.05536947007912373,0.1915382787274261
1942,8.592780367441196e-08,4.351745523897719e-07,8.777477487735345e-08,0.13349272022203504,0.03520729918732262,9.550074236845552,7.965808472977642,0.13289333426659702,0.05500220274125201,0.18789553741198342
1943,8.460550821539292e-08,4.2898903293654624e-07,8.474268095002101e-08,0.13376746439905532,0.03528609466269365,9.381977957123212,7.836347601262819,0.1330169070770611,0.055791290286214025,0.18880819763920373
1944,8.502971907182808e-08,4.267979406278052e-07,8.513302291265055e-08,0.13242356218540574,0.03481045988943329,9.410890707443508,7.666226575224901,0.1333696721241785,0.054417578093681175,0.18778725000980576
1945,8.835307157017965e-08,4.3473174279430557e-07,9.075954262544139e-08,0.13342484334067453,0.035795231490847984,9.580032201581155,7.958554977031597,0.13464981435633436,0.05527603937582085,0.1899258538727382
1946,8.903897070231686e-08,4.330868141385218e-07,8.62464188776192e-08,0.1323661670489839,0.03447393129801452,9.920256484634557,8.109934208125866,0.1289634027606731,0.055319069073455095,0.18428247193435857
1947,8.577307510507586e-08,4.176066273750556e-07,8.180556861952955e-08,0.13092026167769624,0.03397331146669664,9.560922860290889,7.965273776648519,0.12937062798313326,0.054694169194157816,0.18406479689130165
1948,8.855703246206995e-08,4.1215645211492866e-07,8.087649642800195e-08,0.13583298235652597,0.0360038356538177,8.59541569343895,6.879870204611375,0.13419554645864643,0.056095935514087196,0.190291481895869
1949,8.780798083310792e-08,4.189235479775562e-07,8.160307477962666e-08,0.1308800830201656,0.033479897078440894,9.332339093761243,7.859356846391279,0.1315715878564677,0.0543605131213754,0.18593210078027042
1950,8.800246943252044e-08,4.1663786672081645e-07,8.273735444920338e-08,0.13453844298093337,0.035098797886052795,8.901748949418755,7.388349599425357,0.1331188037691241,0.05598545543634814,0.18910425924589494
1951,8.536056443429915e-08,4.302188528616554e-07,8.113286895230629e-08,0.13024053608113764,0.03214950388664232,9.903531455819156,8.202570328302212,0.13193185957268425,0.054213829921391676,0.1861456899278597
1952,8.72491033797888e-08,4.309239874863605e-07,7.962909882138646e-08,0.13260051813066018,0.03265680073809787,9.456531360766926,7.685164050191525,0.13285816678000795,0.05513768386428076,0.18799585044427033
1953,9.156062762061538e-08,4.2160707534487905e-07,8.121109364522932e-08,0.135382646559748,0.03487482312997137,9.318121983055358,7.434683796599188,0.13030347888196234,0.05651552890396926,0.18681900758366454
1954,8.900269064828823e-08,4.395389538732341e-07,8.786385415353155e-08,0.13282544479002228,0.03453321053393454,9.894634439716182,8.371250172329237,0.13045986477309524,0.05384321066152776,0.1843030754408029
1955,9.107298662090316e-08,4.3951909358984394e-07,9.256716035225433e-08,0.1348218593429424,0.03662151658194601,9.168392026710501,7.741879925461507,0.135798498081546,0.055439403649754866,0.19123790146133415
1956,8.902491385275223e-08,4.303208176668366e-07,9.121270868891508e-08,0.13205827538230488,0.036211208938622653,9.576922991338233,7.764238561564014,0.13209807696361098,0.05446522406511517,0.18656330062978008
1957,8.351435936475274e-08,4.0763979660176023e-07,8.14888552190297e-08,0.1302874095018939,0.034207568393215856,9.060473861932566,7.4167573457030045,0.12809329228866176,0.05490944568753672,0.18300273781135923
1958,8.560672223388228e-08,4.207290976801595e-07,8.430244157698016e-08,0.1305142978581834,0.034912176066653734,9.576150053239315,7.979538261000141,0.1272209273099176,0.054729412201968176,0.18195033936966276
1959,8.598985381482043e-08,4.3535413402377326e-07,9.082181324093451e-08,0.12674230483045457,0.03433522360294745,10.348157384757766,8.681936632638633,0.12527190368397842,0.05163940596362914,0.17691130931401008
1960,8.809652365992991e-08,4.3545410920765476e-07,8.874675742604353e-08,0.1277576187555773,0.03388649821992658,9.963049413063468,8.2394737114894,0.12581881497349243,0.05126445141517488,0.17708326645257264
1961,8.948398396286096e-08,4.432650574354629e-07,9.0278976306073e-08,0.13082887630505471,0.03479331629128497,9.946326542187624,8.089583285557152,0.13128148481963473,0.054180902572628066,0.18546238762386782
1962,8.349133096481456e-08,4.066176587679692e-07,7.882042836387406e-08,0.12956978385955706,0.03316006198568505,9.383712488069504,7.700360225765937,0.12638556551412924,0.055326350526884095,0.18171191604329148
1963,8.025779142115997e-08,4.155725843958729e-07,7.182564689604313e-08,0.12591516504965009,0.029678615944151557,10.260815010968555,8.341607427411207,0.12211296778911618,0.05343789813442784,0.17555086645504256
1964,8.603025765839511e-08,4.2085200497684856e-07,7.707617337666152e-08,0.13141096728240267,0.03225857713435353,9.396342645471968,7.823165854454911,0.12842964511190647,0.054918929396440004,0.18334857454443018
1965,8.696837641368495e-08,4.136629552284457e-07,7.931730635717694e-08,0.12956305978679197,0.033164886682740154,9.010455553429855,7.455740136553259,0.12867282902855012,0.053691164734695096,0.18236399398840397
1966,9.075517391505949e-08,4.392499213182742e-07,8.447919735893208e-08,0.13427987451681764,0.0340313525408324,9.439228747920938,7.837941078326676,0.1354718569122187,0.0561744990124591,0.19164635583112066
1967,8.492535292282529e-08,4.1810043692545693e-07,7.676809497771021e-08,0.1297870769637603,0.03222475840021118,10.101137230155585,8.378630911411706,0.1248170876049803,0.05369980041354133,0.17851688820575098
1968,8.014602859454384e-08,4.164779216548028e-07,7.124190419618157e-08,0.12237834293484663,0.028465724398390596,10.639294607135616,8.738670037840697,0.11957959052674362,0.052434763478650497,0.17201435379541516
1969,7.979120701439219e-08,4.059901789167422e-07,6.763897459117588e-08,0.1267616051731362,0.029086562267621806,9.841079520573935,8.26046288684426,0.12240457949479261,0.05404393009418301,0.17644850906877266
